from,to,ref,value,quality,parameter_id,station_id,date
1706572801000.0,1706659200000.0,2024-01-30,4.0,Y,2,82230,
1706659201000.0,1706745600000.0,2024-01-31,3.3,Y,2,82230,
1706745601000.0,1706832000000.0,2024-02-01,3.7,Y,2,82230,
1706832001000.0,1706918400000.0,2024-02-02,5.0,Y,2,82230,
1706918401000.0,1707004800000.0,2024-02-03,5.6,Y,2,82230,
1707004801000.0,1707091200000.0,2024-02-04,4.7,Y,2,82230,
1707091201000.0,1707177600000.0,2024-02-05,0.4,Y,2,82230,
1707177601000.0,1707264000000.0,2024-02-06,-2.8,Y,2,82230,
1707264001000.0,1707350400000.0,2024-02-07,-3.9,Y,2,82230,
1707350401000.0,1707436800000.0,2024-02-08,-3.6,Y,2,82230,
1707436801000.0,1707523200000.0,2024-02-09,-5.0,Y,2,82230,
1707523201000.0,1707609600000.0,2024-02-10,-4.5,Y,2,82230,
1707609601000.0,1707696000000.0,2024-02-11,-2.0,Y,2,82230,
1707696001000.0,1707782400000.0,2024-02-12,-3.0,Y,2,82230,
1707782401000.0,1707868800000.0,2024-02-13,-2.8,Y,2,82230,
1707868801000.0,1707955200000.0,2024-02-14,1.5,Y,2,82230,
1707955201000.0,1708041600000.0,2024-02-15,1.8,Y,2,82230,
1708041601000.0,1708128000000.0,2024-02-16,6.4,Y,2,82230,
1708128001000.0,1708214400000.0,2024-02-17,1.3,Y,2,82230,
1708214401000.0,1708300800000.0,2024-02-18,0.2,Y,2,82230,
1708300801000.0,1708387200000.0,2024-02-19,0.7,Y,2,82230,
1708387201000.0,1708473600000.0,2024-02-20,2.0,Y,2,82230,
1708473601000.0,1708560000000.0,2024-02-21,4.6,Y,2,82230,
1708560001000.0,1708646400000.0,2024-02-22,5.8,Y,2,82230,
1708646401000.0,1708732800000.0,2024-02-23,5.2,Y,2,82230,
1708732801000.0,1708819200000.0,2024-02-24,4.2,Y,2,82230,
1708819201000.0,1708905600000.0,2024-02-25,2.8,Y,2,82230,
1708905601000.0,1708992000000.0,2024-02-26,1.6,Y,2,82230,
1708992001000.0,1709078400000.0,2024-02-27,1.7,Y,2,82230,
1709078401000.0,1709164800000.0,2024-02-28,3.1,Y,2,82230,
1709164801000.0,1709251200000.0,2024-02-29,4.7,Y,2,82230,
1699077601000.0,1699164000000.0,2023-11-04,1.8,G,5,82230,
1699164001000.0,1699250400000.0,2023-11-05,0.0,G,5,82230,
1699250401000.0,1699336800000.0,2023-11-06,0.8,G,5,82230,
1699336801000.0,1699423200000.0,2023-11-07,5.7,G,5,82230,
1699423201000.0,1699509600000.0,2023-11-08,2.3,G,5,82230,
1699509601000.0,1699596000000.0,2023-11-09,0.9,G,5,82230,
1699596001000.0,1699682400000.0,2023-11-10,5.7,G,5,82230,
1699682401000.0,1699768800000.0,2023-11-11,2.0,G,5,82230,
1699768801000.0,1699855200000.0,2023-11-12,0.9,G,5,82230,
1699855201000.0,1699941600000.0,2023-11-13,0.0,G,5,82230,
1699941601000.0,1700028000000.0,2023-11-14,0.0,G,5,82230,
1700028001000.0,1700114400000.0,2023-11-15,0.0,G,5,82230,
1700114401000.0,1700200800000.0,2023-11-16,0.0,G,5,82230,
1700200801000.0,1700287200000.0,2023-11-17,0.0,G,5,82230,
1700287201000.0,1700373600000.0,2023-11-18,0.0,G,5,82230,
1700373601000.0,1700460000000.0,2023-11-19,0.0,G,5,82230,
1700460001000.0,1700546400000.0,2023-11-20,0.0,G,5,82230,
1700546401000.0,1700632800000.0,2023-11-21,0.0,G,5,82230,
1700632801000.0,1700719200000.0,2023-11-22,14.8,G,5,82230,
1700719201000.0,1700805600000.0,2023-11-23,0.0,G,5,82230,
1700805601000.0,1700892000000.0,2023-11-24,1.9,G,5,82230,
1700892001000.0,1700978400000.0,2023-11-25,0.0,G,5,82230,
1700978401000.0,1701064800000.0,2023-11-26,0.0,G,5,82230,
1701064801000.0,1701151200000.0,2023-11-27,9.0,G,5,82230,
1701151201000.0,1701237600000.0,2023-11-28,2.1,G,5,82230,
1701237601000.0,1701324000000.0,2023-11-29,2.5,G,5,82230,
1701324001000.0,1701410400000.0,2023-11-30,0.5,G,5,82230,
1701410401000.0,1701496800000.0,2023-12-01,0.0,G,5,82230,
1701496801000.0,1701583200000.0,2023-12-02,0.6,G,5,82230,
1701583201000.0,1701669600000.0,2023-12-03,0.0,G,5,82230,
1701669601000.0,1701756000000.0,2023-12-04,0.0,G,5,82230,
1701756001000.0,1701842400000.0,2023-12-05,0.0,G,5,82230,
1701842401000.0,1701928800000.0,2023-12-06,3.9,G,5,82230,
1701928801000.0,1702015200000.0,2023-12-07,2.0,G,5,82230,
1702015201000.0,1702101600000.0,2023-12-08,4.5,G,5,82230,
1702101601000.0,1702188000000.0,2023-12-09,3.1,G,5,82230,
1702188001000.0,1702274400000.0,2023-12-10,5.2,G,5,82230,
1702274401000.0,1702360800000.0,2023-12-11,1.4,G,5,82230,
1702360801000.0,1702447200000.0,2023-12-12,4.6,G,5,82230,
1702447201000.0,1702533600000.0,2023-12-13,0.0,G,5,82230,
