station_id,name,longitude,latitude,height
135200,Greningen,15.4054,63.3271,390.0
64200,Grimsmåla,14.8805,56.326,90.0
97050,Grindsjön,17.8617,59.0809,45.0
93200,Grums,13.107,59.3493,67.634
64120,Grundsjön,14.586,56.129,140.0
116050,Gruvberget,16.1582,61.1031,358.0
105420,Grycksbo D,15.491,60.6907,160.0
85660,Gryt,15.3666,58.9,105.0
94420,Grythyttan,14.5287,59.7114,182.047
102700,Gräsfall,12.7167,60.4472,400.0
92560,Gräsmark,12.8992,59.9339,165.0
93310,Gräsås D,13.9365,59.5267,111.815
132680,Gråsjön,12.8691,63.7291,550.0
114300,Gråtbäck,14.7528,61.4139,524.0
76500,Grönhult,16.1583,57.7778,120.0
85610,Grönkulla,15.4636,58.5831,115.0
150440,Grönliden,20.1882,64.7287,308.016
65610,Grönåsen,15.447,56.8332,215.0
65630,Gullaboås,15.8833,56.4333,65.0
65530,Gullaskruv,15.6841,56.874,175.0
75490,Gullringen,15.6662,57.812,165.0
84590,Gullspång,14.1075,58.9859,61.015
137490,Gulsele,17.1282,63.8159,260.0
81590,Gunnesbyn,11.6951,58.9765,145.0
86260,Gustorp D,16.1311,58.4244,64.718
64220,Gyngamåla,14.8219,56.3463,110.0
171850,Gällivare-Flakaberg,21.9092,66.5189,240.0
106720,Gärdsjö,15.2333,60.9333,200.0
134060,Gärdsta,14.2833,63.1417,295.0
107410,Gävle-Lexe,17.098,60.6812,25.0
107430,Gävle-Åbyggeby,17.1098,60.7277,33.0
127480,Gåltjärn,17.5502,62.7949,269.122
72010,Gångarebo,12.916,57.0153,190.0
105400,Gårdvik,15.8119,60.7216,190.0
94460,Gåsbornshyttan,14.3417,59.8861,225.0
112360,Gördalen D,12.5003,61.5951,620.0
83370,Gössäter,13.4666,58.6166,60.0
75640,Götestorp,15.047,57.2666,320.0
74550,Habo,14.0779,57.91,175.0
72280,Haby,12.65,57.4666,60.0
97350,Hacksta,17.0505,59.5538,16.253
85550,Haddebo,15.3666,58.9166,120.0
105170,Haggården,15.9813,60.2672,100.0
171970,Hakkas,21.5757,66.9178,270.0
54430,Hallamölla,14.0106,55.7082,90.0
134120,Hallen,14.0918,63.1776,330.0
95040,Hallsberg,15.0805,59.0679,65.66
96390,Hallstaberg,16.797,59.6542,40.781
97460,Halmsjön,17.3042,59.6583,30.0
136060,Hammarstrand D,16.3499,63.1003,178.0
93260,Hammarö,13.5412,59.3211,55.668
135350,Hammerdal D,15.3714,63.5742,330.013
97060,Hamra,17.85,59.2167,44.0
124290,Handsjön D,14.7981,62.4761,291.343
160610,Haraliden,20.1,65.45,450.0
107080,Harbo,17.2382,60.1364,40.0
149010,Harrsele,19.5682,64.0193,115.0
115710,Hasberget,14.85,61.4333,480.0
126070,Hassela D,16.7849,62.1001,150.0
94710,Hasselfors,14.65,59.1,75.0
138360,Hattsjöbäcken D,18.9974,63.591,154.462
78510,Hau träsk,18.9944,57.8944,5.0
63480,Havraryd D,13.1384,56.7923,185.0
158830,Hedberg,18.8136,65.4273,440.0
105160,Hedemora,15.9872,60.2783,115.0
81310,Heden,11.5234,58.5176,48.841
107230,Hedesunda,17.0188,60.4049,61.0
76570,Hellerö,16.6482,57.9542,11.329
62020,Helsingborg 2,12.7496,56.0397,46.027
64210,Hemsjö,14.7138,56.3248,80.0
125030,Hennan D,15.9098,62.0303,215.0
81140,Henån,11.6794,58.2324,10.61
83060,Herrljunga D,13.0461,58.086,120.57
65560,Herråkra,15.1688,56.9255,235.0
96080,Herrökna,16.9653,59.1167,25.0
73220,Hid D,13.0457,57.3654,143.0
106610,Hillersbo,16.5833,60.0666,65.0
105390,Hillersboda,15.9356,60.7067,138.0
145090,Hillsand,15.3142,64.1097,320.903
72440,Hindås,12.4417,57.7083,135.0
65580,Hinshult,15.8733,56.9705,141.883
134200,Hissmofors,14.4733,63.3329,285.0
84180,Hjo,14.3161,58.3138,95.247
76370,Hjorted,16.3117,57.6215,70.0
85540,Hjortkvarn D,15.4451,58.931,82.761
83350,Hjälmsäter,13.3398,58.5829,80.0
137120,Hjälta kraftverk,17.1039,63.1845,95.0
62200,Hjärnarp,12.9166,56.3166,40.0
132660,Hoberg,12.9833,63.85,420.0
65150,Hoby,15.099,56.2163,20.0
106330,Hofors,16.2886,60.5394,120.0
150460,Holmfors D,20.5148,64.7845,133.49
108620,Holmsberg,18.3333,60.0166,50.0
140470,Holmön D,20.8563,63.7909,9.676
74020,Horda,14.2936,57.0252,190.0
94400,Hornkullen,14.2849,59.6506,260.0
72350,Horred,12.452,57.3751,70.241
113190,Horrmund,13.1615,61.3138,440.0
62270,Hov,12.7011,56.4495,42.467
72500,Hulan,12.2417,57.7556,20.0
126330,Hullsjön,16.7,62.55,315.0
75060,Hult,15.2333,57.1,265.0
86410,Hultsbruk D,16.1313,58.6756,50.349
74260,Hylletofta,14.4729,57.4399,270.0
64410,Hyltan,14.3335,56.6816,154.0
96200,Hyndevad,16.4402,59.3218,24.846
97450,Hyvlinge,17.0682,59.7475,20.0
123020,Häggberget D,13.0847,62.0302,682.0
132310,Häggsjön,12.7159,63.5158,480.0
72370,Häggårda,12.9426,57.6143,124.0
146600,Häggås,16.5965,64.3991,470.0
127160,Häljum,17.3358,62.2622,25.0
96090,Hälleforsnäs D,16.5063,59.1561,76.152
105720,Hällsjön,15.15,60.0333,235.0
114520,Härjeåsjön,14.2103,61.9105,413.0
64580,Härlöv,14.6333,56.9666,155.0
116070,Härnebo,16.7433,61.1321,92.0
72680,Härryda,12.2988,57.6865,91.107
72650,Härsjönäs,12.35,57.75,100.0
81580,Härslätt,11.9833,58.75,140.0
104140,Håen,14.4444,60.1847,380.0
144230,Håkafot D,14.3913,64.3914,310.0
64710,Hålabäck,14.6166,56.1166,10.0
81570,Håvelund,11.4385,58.9453,98.496
82500,Håvreström,12.4127,58.8216,55.0
63730,Högaryd,13.1666,56.7166,175.0
106410,Högbo,16.8193,60.6892,80.0
93350,Högboda,13.0242,59.5768,91.559
138410,Högbränna,18.6278,63.7361,211.0
84040,Högemålen D,14.5924,58.0561,286.83
92580,Högfors,12.8167,59.9833,200.0
127390,Höglandsbodarna D,17.4146,62.6336,65.0
107070,Högsbo,17.0254,60.1186,52.375
106710,Högskogen,17.2166,60.0166,70.0
95290,Högsta,15.4802,59.3521,10.0
74740,Högstorp,14.4833,57.85,255.0
126340,Högsvedjan,16.6992,62.5535,395.0
81530,Höksäter,11.8833,58.8833,140.0
53500,Hörby,13.6672,55.8506,65.0
104020,Hörken,14.9382,60.029,250.0
63620,Hörlinge,13.6833,56.2,55.0
112520,Idre D,12.7258,61.8583,450.0
117200,Iggesund,17.0889,61.65,20.0
127340,Indal D,17.1201,62.5663,70.0
105580,Ingels,15.2473,60.9437,190.0
64450,Ingelstad,14.9333,56.75,160.0
98340,Ingmarsö,18.7611,59.4806,15.0
138020,Invik,18.172,63.0255,10.0
173980,Jarhois,23.8356,66.9524,112.317
156860,Jiltjaur,16.982,65.537,435.0
172900,Jock,22.7215,66.6561,105.0
154920,Joesjö,14.6303,65.7306,490.0
104660,Johannisholm,14.1333,60.8333,280.0
86300,Jonsberg,16.8575,58.5059,10.0
72380,Jonsered,12.1833,57.7569,23.0
180950,Jukkasjärvi D,20.5786,67.853,328.676
157670,Juktfors,17.4833,65.2666,430.0
182830,Junosuando,22.5444,67.4236,215.0
95710,Jäders bruk,15.8,59.4,15.0
73630,Jägarhyddan,13.9472,57.2166,165.0
169030,Jäkna,19.02,66.05,395.0
103200,Järnbergsås,13.1272,60.3239,215.0
94380,Järnboås D,14.8861,59.6446,115.0
133220,Järpen,13.4578,63.3528,338.0
102470,Järpliden,12.4593,60.7798,430.0
160710,Jörn D,20.1015,65.0961,289.162
97660,Kairo,16.0468,59.5164,8.0
180010,Kaitum,20.1166,67.5333,490.0
149400,Kalvträsk D,19.8007,64.6701,287.35
182850,Kangos D,22.6622,67.5031,231.725
66610,Kapelludden,16.8468,56.8167,4.0
94200,Karlskoga,14.5485,59.3279,94.358
75320,Karlstorp D,15.507,57.5137,215.0
173710,Karungi,23.9722,66.0429,29.032
66260,Kastlösa,16.4186,56.4321,20.43
83430,Katrinefors,13.8333,58.7166,50.0
86590,Katrineholm D,16.1896,58.9773,30.0
183810,Kaunisvaara,23.3185,67.3612,180.0
133300,Kaxås-Åflo D,13.8765,63.4925,345.813
191960,Keinovuopio D,21.0337,68.8663,460.0
172960,Kenttäsaari D,22.8944,66.8155,135.0
182890,Keräntöjärvi,22.9211,67.6375,315.0
116150,Kilafors D,16.5535,61.2483,54.0
83220,Kilagården,13.2513,58.3563,88.044
62230,Killebäckstorp,12.7491,56.3822,50.0
180860,Killingi,20.2736,67.5199,485.0
73330,Kindsboda,13.3389,57.5925,170.0
102400,Kindsjön D,12.708,60.6584,425.462
75590,Kisa D,15.6318,57.984,114.854
53740,Klamby,13.7333,55.6666,85.0
78220,Klinte D,18.2463,57.3719,50.0
63070,Klippan,13.2489,56.1394,55.752
157970,Klippen D,17.109,65.897,518.0
114180,Klitten,14.1139,61.2806,450.0
132190,Klocka,12.506,63.2983,530.0
71660,Klädesholmen,11.55,57.95,10.0
161900,Klöverträsk D,21.4128,65.6348,66.095
148710,Knaften,18.6333,64.45,350.0
64150,Knislinge,14.1,56.2,15.0
